Date,VTI,VTMGX,VEMAX,MUB,VIG,VDE
2016-10-01,103.318451,10.799443,29.387102,104.016632,77.871216,86.942352
2016-11-01,107.958244,10.633724,28.111443,99.755905,80.189095,95.426773
2016-12-01,109.419449,10.808651,27.933224,101.319572,80.586449,98.245682
2017-01-01,112.146194,11.297248,29.452076,101.916473,82.555534,93.899612
2017-02-01,116.289856,11.408642,30.422812,102.254753,86.127106,91.409248
2017-03-01,115.831573,11.705693,31.05427,102.571747,85.660423,89.866699
2017-04-01,117.591293,12.020799,31.562319,103.140854,87.548218,87.26342
2017-05-01,118.78054,12.430812,31.949419,104.718117,88.92617,83.729126
2017-06-01,119.355972,12.356263,31.987186,104.288017,88.677383,82.747383
2017-07-01,122.160309,12.867753,33.915546,105.193886,89.824715,85.452774
2017-08-01,122.343361,12.877179,34.970062,106.043236,89.497543,80.689705
2017-09-01,124.790619,13.131707,34.286053,105.59201,91.210327,88.088463
2017-10-01,128.047684,13.432776,35.553085,105.680542,93.549446,88.175476
2017-11-01,131.927933,13.366513,35.620369,105.191849,97.744591,89.994606
2017-12-01,132.808487,13.641037,36.696857,106.055374,98.624207,94.242409
2018-01-01,140.441376,14.443196,39.970306,105.232834,104.128357,97.83213
2018-02-01,135.161346,13.68806,38.087193,104.40612,99.930183,87.327179
2018-03-01,131.971909,13.573355,37.565716,104.907326,98.200378,88.534874
2018-04-01,133.10347,13.834668,36.863152,104.189034,97.67897,97.74234
2018-05-01,136.725632,13.614003,35.818218,105.490532,99.405991,101.253822
2018-06-01,137.106415,13.239835,33.989567,105.626343,99.152321,101.369591
2018-07-01,142.256638,13.716474,35.295822,105.771805,104.377167,103.102089
2018-08-01,147.139389,13.454189,34.049519,105.939941,107.301056,100.054253
2018-09-01,146.72757,13.502759,33.221893,105.217499,108.615822,102.024673
2018-10-01,136.502594,12.401627,31.056993,104.61866,102.165215,90.251106
2018-11-01,139.25119,12.450377,32.445839,105.769127,106.393349,87.691475
2018-12-01,125.734894,11.660649,31.283543,106.994858,96.537552,75.333
2019-01-01,137.274536,12.647313,34.17757,107.846115,103.223419,84.816383
2019-02-01,142.159851,12.923111,34.395702,108.200836,107.951439,86.657654
2019-03-01,143.398529,12.923111,34.990612,109.795364,108.675003,88.006607
2019-04-01,149.832779,13.353172,35.790424,110.389267,113.249817,88.487442
2019-05-01,140.168716,12.650894,33.485851,111.942146,108.001602,78.131996
2019-06-01,149.53389,13.25426,35.065281,112.397133,114.683861,84.331375
2019-07-01,152.210007,13.12,34.900002,113.234245,117.730003,82.970001
2019-08-01,147.029999,12.72,32.599998,114.721489,114.739998,76.800003
